Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C5, C50",0402,4,1p,
"C10, C11, C36, C41, C46",0402,5,10n,
"C118, C27, C28, C8",0402,4,18p,
"C119, C12, C132, C133, C134, C135, C136, C137, C14, C16, C18, C3, C47, C48",0402,14,1u,
"C120, C13, C15, C17, C19, C20, C21, C29, C38, C44, C49, C6",0402,12,100n,
"C121, C122, C2",0402,3,4.7p,
"C22, C33, C35, C37, C40, C42, C45",0603,7,10u,
C23,0402,1,470p,
C24,0402,1,560p,
"C25, C30, C7",0402,3,1n,
C26,0402,1,22n,
"C31, C32, C34, C39, C43",0402,5,220n,
C9,0402,1,5.6p,
"FB1, FB2, FB3, FB4, FB5, FB6",0603,6,MPZ1608S221ATA00,
FL1,JC0603C-1,1,LFCW-133+,
FL6,Filter_Mini-Circuits_FV1206-4,1,LFCN-8440,
H1,2-pin-spaced-header,1,~,
"J1, J3",RF2-04A-T-00-50-G,2,RF_OUT,
"J5, J6",RF2-04A-T-00-50-G,2,TEST,
J7,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08,
"JP1, JP3",SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,2,CHECK VOLTAGES FIRST,
L1,0805,1,3.3n,
L14,0402,1,3.3n,
"R1, R12, R2, R25, R3, R4, R6",0402,7,510,
"R10, R8",0402,2,330,
"R11, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R7",0402,14,0,
R5,0402,1,51,
R62,1206,1,140,
R9,0402,1,270,
TP1,TestPoint_Pad_D1.0mm,1,VCTRL,
TP12,TestPoint_Pad_D1.0mm,1,3V3_OUT,
TP13,TestPoint_Pad_D1.0mm,1,1V8_OUT,
TP2,TestPoint_Pad_D1.0mm,1,VREG_4V5,
TP3,TestPoint_Pad_D1.0mm,1,VREG_VCO,
TP4,TestPoint_Pad_D1.0mm,1,VREG_DIG,
TP5,TestPoint_Pad_D1.0mm,1,VREG_PLL,
TP6,TestPoint_Pad_D1.0mm,1,5V0_OUT,
U1,QFN-36-1EP_6x6mm_P0.5mm_EP4.1x4.1mm,1,~,
U12,SOT-89-3,1,GALI-39,
U15,RF_Attenuator_Susumu_PAT1220,1,PAT1220-C-3DB,
U17,SOT-223-3_TabPin2,1,TLV1117LV-33,
U18,SOT-223-3_TabPin2,1,TLV1117LV-18,
U2,TO-220-3_Vertical,1,LM7805_TO220,
U3,QFN-12-1EP_3x3mm_P0.51mm_EP1.45x1.45mm,1,MTX2-143+,
U4,DQ849,1,AVA-183A+,
X1,Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm,1,ASCO,
