Designator,Mid X,Mid Y,Rotation,Layer
C1,191.5,-93.250001,90.0,top
C10,158.75,-120.75,90.0,top
C11,157.25,-120.75,270.0,top
C118,191.3,-109.5,45.0,top
C119,194.5,-108.0,135.0,top
C12,156.0,-103.75,90.0,top
C120,194.3,-112.5,45.0,top
C121,193.25,-118.0,90.0,top
C122,179.75,-113.5,180.0,top
C13,157.25,-103.75,90.0,top
C132,168.25,-89.75,90.0,top
C133,172.25,-98.75,270.0,top
C134,173.5,-98.75,270.0,top
C135,180.0,-86.25,0.0,top
C136,178.5,-97.0,180.0,top
C137,181.0,-97.0,0.0,top
C14,167.0,-106.6,0.0,top
C15,167.0,-107.6,0.0,top
C16,154.0,-118.13,270.0,top
C17,155.5,-118.13,270.0,top
C18,166.019239,-116.580761,315.0,top
C19,165.1,-117.5,315.0,top
C2,184.0,-121.75,0.0,top
C20,162.0,-124.75,0.0,top
C21,147.25,-121.25,270.0,top
C22,147.5,-115.75,90.0,top
C23,147.75,-110.88,180.0,top
C24,148.0,-105.63,180.0,top
C25,149.1825,-100.88,180.0,top
C26,151.0,-99.0675,90.0,top
C27,169.1825,-115.5,0.0,top
C28,171.255,-113.37,0.0,top
C29,164.9325,-105.0,180.0,top
C3,154.25,-87.5,90.0,top
C30,163.6825,-103.25,180.0,top
C31,151.5,-115.38,180.0,top
C32,170.9,-110.7,0.0,top
C33,162.25,-99.1525,90.0,top
C34,155.75,-120.75,270.0,top
C35,149.75,-121.88,180.0,top
C36,151.5,-116.88,180.0,top
C37,165.5,-121.492501,270.0,top
C38,167.75,-120.88,270.0,top
C39,163.5,-119.25,270.0,top
C4,172.3175,-108.0,0.0,top
C40,168.75,-124.25,0.0,top
C41,160.5,-119.25,270.0,top
C42,152.75,-104.88,90.0,top
C43,155.0,-106.75,90.0,top
C44,159.75,-104.75,0.0,top
C45,152.25,-101.5,180.0,top
C46,151.5,-112.38,180.0,top
C47,161.0,-94.3,180.0,top
C48,166.75,-90.25,90.0,top
C49,155.25,-124.25,270.0,top
C5,172.3175,-106.4,0.0,top
C50,166.5675,-79.0,0.0,top
C6,183.8,-103.25,180.0,top
C7,186.7,-103.25,0.0,top
C8,185.3,-98.9,180.0,top
C9,187.1,-97.0675,90.0,top
FB1,167.874999,-99.75,180.0,top
FB2,168.25,-104.0,225.0,top
FB3,148.875,-118.75,0.0,top
FB4,162.5,-122.75,0.0,top
FB5,151.5,-88.25,180.0,top
FB6,151.500001,-86.325786,180.0,top
FL1,191.5,-96.945001,90.0,top
FL6,188.75,-121.75,180.0,top
H1,148.25,-93.5,270.0,top
J1,177.5,-121.75,0.0,top
J3,191.5,-85.5,180.0,top
J5,150.75,-80.45,0.0,top
J6,183.0,-80.5,0.0,top
J7,167.309999,-83.5,270.0,top
L1,185.2625,-100.9,180.0,top
L14,189.75,-114.0,270.0,top
R1,168.670002,-86.777498,270.0,top
R10,154.0,-98.5675,90.0,top
R11,151.5,-113.88,180.0,top
R12,157.25,-98.0,180.0,top
R13,164.25,-101.0,270.0,top
R14,149.25,-114.0,270.0,top
R15,169.5675,-112.0,180.0,top
R16,152.75,-121.88,180.0,top
R17,152.0,-119.13,90.0,top
R18,167.75,-118.13,90.0,top
R19,162.0,-119.25,90.0,top
R2,171.170001,-86.7775,270.0,top
R20,165.25,-125.0,0.0,top
R21,151.5,-109.38,180.0,top
R22,151.5,-110.88,180.0,top
R23,150.75,-104.1525,270.0,top
R24,159.180001,-102.25,270.0,top
R25,176.170001,-86.777498,270.0,top
R3,165.92,-86.777498,270.0,top
R4,163.420001,-86.777497,270.0,top
R5,171.75,-115.5,0.0,top
R6,173.670001,-86.7775,270.0,top
R62,192.75,-111.0,225.0,top
R7,151.5,-107.88,180.0,top
R8,148.5,-108.13,90.0,top
R9,148.5,-103.13,90.0,top
U1,161.25,-112.13,0.0,top
U12,185.25,-112.5,270.0,top
U15,176.0,-114.0,0.0,top
U17,172.75,-93.0,90.0,top
U18,181.0,-91.75,90.0,top
U2,160.5,-91.75,0.0,top
U3,177.345,-107.22,270.0,top
U4,185.25,-106.7,0.0,top
X1,157.75,-124.0,90.0,top
